last_name, first_name, date_of_birth, email
Doe, John, 1982/10/08, john.doe@foobar.com
Ann, Mary, 1975/09/11, mary.ann@foobar.com
Doe, Fred, 1982/10/08, fred.doe@foobar.com
Ann, Caty, 1975/09/11, caty.ann@foobar.com
Doe, Mark, 1982/10/08, mark.doe@foobar.com
Ann, Maggie, 1975/09/11, maggie.ann@foobar.com
Doe, Alex, 1982/10/08, alex.doe@foobar.com
Ann, Sue, 1975/09/11, sue.ann@foobar.com
Doe, Frank, 1982/10/08, frank.doe@foobar.com
Ann, Susy, 1975/11/01, susy.ann@foobar.com
Doe, Ken, 1982/10/08, ken.doe@foobar.com
Ann, Daisy, 1975/09/11, daisy.ann@foobar.com
Doe, Greg, 1982/10/08, greg.doe@foobar.com
Ann, Floe, 1975/11/02, floe.ann@foobar.com
Doe, Dick, 1982/10/08, dick.doe@foobar.com
Ann, Lucy, 1975/09/11, lucy.ann@foobar.com
Tony, Dick, 1982/11/01, tony.doe@foobar.com
